KIC,Porb
7940533,3.906
7941635,0.763
7943535,4.719
7943602,14.692
7947631,2.517
7950775,8.967
7960547,6.767
7967100,1.927
7970760,7.649
7971389,26.35
7985167,1.384
7987749,17.031
8005892,958
8008128,14.854
8016214,3.175
8019043,1.986
8043714,6.815
8075618,17.561
8081482,2.819
8088354,2.898
8094140,0.706
8095099,4.206
8097825,2.937
8098300,4.306
8111622,15.446
8112324,0.576
8127648,2.047
8128067,12.43
8128965,7.14
8145789,1.671
8155368,0.719
8155584,26.018
8176653,2.867
8179747,17.946
8180020,5.803
8195877,1.51
8211824,0.841
8223328,35.516
8229048,5.479
8230809,4.078
8231877,2.616
8242681,4.021
8244173,2.184
8263746,10.994
8279765,2.758
8285254,7.536
8288719,1.51
8294484,1.013
8296467,10.303
8299947,5.366
8301013,4.428
8302455,4.884
8312222,12.823
8316503,5.065
8323764,6.714
8345358,9.381
8356054,17.081
8364119,7.736
8364969,22.572
8365739,2.389
8374499,5.252
8379547,6.042
8381592,5.784
8409588,2.722
8411947,1.798
8415863,27.534
8429817,6.263
8430105,63.327
8435232,49.568
8435247,0.696
8444552,1.178
8458207,3.53
8460600,6.352
8479107,0.768
8479386,11.721
8509781,70.336
8543278,7.549
8552540,1.062
8552719,88.407
8559863,22.47
8580438,6.496
8581658,3.482
8590527,0.74
8604993,6.57
8608490,1.083
8616873,0.576
8618226,5.882
8620561,0.782
8621026,4.059
8669092,1.001
8678664,15.42
8703129,253.362
8719897,3.151
8733497,76.82
8736245,5.069
8746310,6.856
8784288,3.655
8823868,23.876
8845026,66.468
8848104,0.825
8848271,9.992
8879427,16.313
8879915,3.443
8891278,12.719
8906676,8.21
8935352,10.909
8938628,6.862
8939650,3.655
8940961,3.167
8949316,0.604
8953059,5.5
8953257,3.222
8953426,5.332
8957954,4.36
8971432,0.624
8973000,28.028
8984706,10.135
9001468,17.33
9002237,4.35
9005854,3.78
9020426,0.913
9024857,35.027
9025914,11.32
9029486,6.277
9032900,67.524
9084778,1.184
9098590,2.244
9098810,8.258
9110346,1.791
9119652,2.216
9137992,1.47
9143254,2.275
9178185,2.993
9210828,1.656
9221398,13.788
9266285,5.614
9284741,20.729
9288786,1.744
9291629,20.686
9291748,15.927
9328852,0.646
9346655,0.872
9353182,10.476
9366988,1.219
9392702,3.909
9411317,8.291
9411943,3.844
9412462,10.187
9426071,28.714
9446824,4.202
9451127,5.117
9468296,5.749
9468384,11.083
9474485,1.025
9478836,0.254
9509207,14.2
9517991,717
9520700,4.274
9528420,4.708
9529856,37.482
9532123,8.215
9532421,4.309
9540450,2.155
9551200,0.712
9569866,1.48
9576197,7.964
9579499,7.947
9588822,71.76
9592575,5.275
9593759,2.494
9596089,20.839
9596187,0.953
9597095,2.746
9597411,3.151
9632895,27.322
9634821,73.758
9635529,4.704
9637299,1.882
9641031,2.178
9642018,0.505
9649222,5.919
9655129,2.744
9656397,204.74
9656543,2.545
9664215,3.319
9674608,2.972
9705459,2.487
9706078,0.614
9711751,1.712
9714358,6.474
9719636,3.352
9724993,7.863
9752973,0.717
9758089,92.729
9761199,1.384
9762519,7.515
9767437,0.713
9774400,10.818
9775253,8.788
9777090,5.508
9783760,89.74
9784230,0.798
9821078,8.429
9821151,8.429
9834719,3.243
9838060,23.816
9839081,2.559
9847239,28.508
9873869,4.995
9880467,8.973
9881258,4.057
9886224,2.993
9892471,8.268
9895004,2.251
9896435,18.077
9934208,9.058
9936698,5.712
9940565,4.279
